epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,43.7656,0.81701,0.81579,0.91733,1,0.67506,0.97769,0.72922,0.81635,1.98958,0.88971,0.000490728,0.000490728,0.000490728
44,44.7309,1.00542,0.97016,0.87268,1,0.67506,0.97769,0.72922,0.81635,1.98958,0.88971,0.000493898,0.000493898,0.000493898
45,45.7247,0.82958,0.8739,0.95589,1,0.70744,0.98548,0.75114,0.81828,1.93006,0.89312,0.000496672,0.000496672,0.000496672
46,46.6811,0.78598,1.01415,0.99934,1,0.70744,0.98548,0.75114,0.81828,1.93006,0.89312,0.00049905,0.00049905,0.00049905
47,47.6946,0.95798,0.8563,0.97517,1,0.66025,0.995,0.75575,0.88681,1.94533,0.90123,0.000501032,0.000501032,0.000501032
48,48.7197,0.90517,0.88175,0.96381,1,0.66025,0.995,0.75575,0.88681,1.94533,0.90123,0.000502618,0.000502618,0.000502618
49,49.7499,0.82171,0.7777,0.90106,1,0.61533,0.995,0.69856,0.9208,1.97306,0.91551,0.000503808,0.000503808,0.000503808
50,50.7271,0.99996,1.10463,0.98357,1,0.61533,0.995,0.69856,0.9208,1.97306,0.91551,0.000504602,0.000504602,0.000504602
51,51.6583,0.96134,1.12064,1.00895,1,0.50084,0.995,0.73564,0.91745,2.01243,0.92194,0.000505,0.000505,0.000505
52,52.6075,0.81848,0.81146,0.90859,1,0.50084,0.995,0.73564,0.91745,2.01243,0.92194,0.000505002,0.000505002,0.000505002
53,53.5925,0.91257,0.80984,0.91297,1,0.50084,0.995,0.73564,0.91745,2.01243,0.92194,0.000504608,0.000504608,0.000504608
54,54.6176,0.92208,0.82205,0.95733,1,0.48871,0.92659,0.7286,0.80087,1.99933,0.89471,0.000503818,0.000503818,0.000503818
55,55.6139,0.8163,0.87971,0.98358,1,0.48871,0.92659,0.7286,0.80087,1.99933,0.89471,0.000502632,0.000502632,0.000502632
56,56.6029,0.8931,0.77667,0.93449,1,0.48871,0.92659,0.7286,0.80087,1.99933,0.89471,0.00050105,0.00050105,0.00050105
57,57.6076,0.89301,1.02127,0.99314,1,0.62411,0.8922,0.69701,0.77414,1.9748,0.88053,0.000499072,0.000499072,0.000499072
58,58.6043,1.0121,1.34988,1.00048,1,0.62411,0.8922,0.69701,0.77414,1.9748,0.88053,0.000496698,0.000496698,0.000496698
59,59.6282,1.1194,0.97736,0.95363,1,0.62411,0.8922,0.69701,0.77414,1.9748,0.88053,0.000493928,0.000493928,0.000493928
60,60.6538,1.02093,0.92357,0.9557,1,0.58026,0.89115,0.6856,0.81962,2.06219,0.89115,0.000490762,0.000490762,0.000490762
61,61.6348,1.0241,0.79412,0.88839,1,0.58026,0.89115,0.6856,0.81962,2.06219,0.89115,0.0004872,0.0004872,0.0004872
62,62.5869,0.94424,0.74889,0.92676,1,0.58026,0.89115,0.6856,0.81962,2.06219,0.89115,0.000483242,0.000483242,0.000483242
63,63.6395,0.70535,0.71049,0.85083,1,0.39739,0.89031,0.71777,0.79254,2.20121,0.90824,0.000478888,0.000478888,0.000478888
64,64.5389,0.82045,0.8118,0.99069,1,0.39739,0.89031,0.71777,0.79254,2.20121,0.90824,0.000474138,0.000474138,0.000474138
65,65.504,0.80863,0.79707,0.9547,1,0.39739,0.89031,0.71777,0.79254,2.20121,0.90824,0.000468992,0.000468992,0.000468992
66,66.4934,1.09899,1.57817,1.18774,1,0.31256,0.7228,0.60006,0.74574,2.32954,0.91856,0.00046345,0.00046345,0.00046345
67,67.4545,0.70341,0.82698,0.85573,1,0.31256,0.7228,0.60006,0.74574,2.32954,0.91856,0.000457512,0.000457512,0.000457512
68,68.3957,0.95073,0.9542,0.97368,1,0.31256,0.7228,0.60006,0.74574,2.32954,0.91856,0.000451178,0.000451178,0.000451178
69,69.5006,0.76422,0.79193,0.89151,1,0.31711,0.77705,0.64822,0.76311,2.33781,0.92746,0.000444448,0.000444448,0.000444448
70,70.5255,1.0076,0.94893,0.97154,1,0.31711,0.77705,0.64822,0.76311,2.33781,0.92746,0.000437322,0.000437322,0.000437322
71,71.4817,0.80734,0.80579,0.89385,1,0.31711,0.77705,0.64822,0.76311,2.33781,0.92746,0.0004298,0.0004298,0.0004298
72,72.4748,0.83534,0.85246,0.87599,1,0.34728,0.77675,0.64714,0.7978,2.20968,0.92224,0.000421882,0.000421882,0.000421882
73,73.5108,0.81444,0.89381,0.92739,1,0.34728,0.77675,0.64714,0.7978,2.20968,0.92224,0.000413568,0.000413568,0.000413568
74,74.5366,0.81391,0.85763,0.94171,1,0.34728,0.77675,0.64714,0.7978,2.20968,0.92224,0.000404858,0.000404858,0.000404858
75,75.5441,0.70808,0.80783,0.85993,1,0.51164,0.83351,0.70324,0.7594,1.97072,0.91159,0.000395752,0.000395752,0.000395752
76,76.6056,0.90338,1.02449,0.98663,1,0.51164,0.83351,0.70324,0.7594,1.97072,0.91159,0.00038625,0.00038625,0.00038625
77,77.6442,0.90219,0.83407,0.88778,1,0.51164,0.83351,0.70324,0.7594,1.97072,0.91159,0.000376352,0.000376352,0.000376352
78,78.7204,0.73935,0.74474,0.84124,1,0.78403,0.94779,0.79881,0.65346,1.69601,0.86642,0.000366058,0.000366058,0.000366058
79,79.7411,0.80431,0.83694,0.95955,1,0.78403,0.94779,0.79881,0.65346,1.69601,0.86642,0.000355368,0.000355368,0.000355368
80,80.753,0.78071,0.72863,0.8842,1,0.78403,0.94779,0.79881,0.65346,1.69601,0.86642,0.000344282,0.000344282,0.000344282
81,81.7548,0.72217,0.95983,0.9287,1,0.80691,0.98196,0.87389,0.60933,1.48128,0.84339,0.0003328,0.0003328,0.0003328
82,82.7716,0.7507,0.70019,0.89496,1,0.80691,0.98196,0.87389,0.60933,1.48128,0.84339,0.000320922,0.000320922,0.000320922
83,83.7935,0.73365,0.74524,0.9175,1,0.80691,0.98196,0.87389,0.60933,1.48128,0.84339,0.000308648,0.000308648,0.000308648
84,84.8506,0.73962,0.74833,0.94292,1,0.94165,0.995,0.87607,0.60271,1.28631,0.83405,0.000295978,0.000295978,0.000295978
85,85.8622,0.96705,0.77601,0.86967,1,0.94165,0.995,0.87607,0.60271,1.28631,0.83405,0.000282912,0.000282912,0.000282912
86,86.8388,0.78208,0.70257,0.89587,1,0.94165,0.995,0.87607,0.60271,1.28631,0.83405,0.00026945,0.00026945,0.00026945
87,87.8617,0.88852,0.77704,0.85607,1,0.94165,0.995,0.87607,0.60271,1.28631,0.83405,0.000255592,0.000255592,0.000255592
88,89.0034,0.7181,0.67928,0.83212,0.99132,1,0.995,0.88031,0.56732,1.11659,0.82434,0.000241338,0.000241338,0.000241338
89,89.9819,0.65189,0.70445,0.88447,0.99132,1,0.995,0.88031,0.56732,1.11659,0.82434,0.000226688,0.000226688,0.000226688
90,90.9931,0.7692,0.71004,0.92041,0.99132,1,0.995,0.88031,0.56732,1.11659,0.82434,0.000211642,0.000211642,0.000211642
91,91.9878,0.75574,0.88781,0.9532,0.99132,1,0.995,0.88031,0.56732,1.11659,0.82434,0.0001962,0.0001962,0.0001962
92,92.9919,0.63677,0.94181,0.86439,0.9892,1,0.995,0.88941,0.53628,1.00248,0.81977,0.000180362,0.000180362,0.000180362
93,93.9332,0.77035,0.89379,0.84482,0.9892,1,0.995,0.88941,0.53628,1.00248,0.81977,0.000164128,0.000164128,0.000164128
94,94.985,0.662,0.83919,0.93842,0.9892,1,0.995,0.88941,0.53628,1.00248,0.81977,0.000147498,0.000147498,0.000147498
95,95.9321,0.75142,0.93676,0.905,0.9892,1,0.995,0.88941,0.53628,1.00248,0.81977,0.000130472,0.000130472,0.000130472
96,97.0092,0.56495,0.79251,0.92199,0.99134,1,0.995,0.8976,0.51754,0.92127,0.81673,0.00011305,0.00011305,0.00011305
97,98.0265,0.647,0.72082,0.93231,0.99134,1,0.995,0.8976,0.51754,0.92127,0.81673,9.5232e-05,9.5232e-05,9.5232e-05
98,99.0145,0.95795,1.21296,0.9166,0.99134,1,0.995,0.8976,0.51754,0.92127,0.81673,7.7018e-05,7.7018e-05,7.7018e-05
99,99.9938,0.65796,0.75098,0.8866,0.99134,1,0.995,0.8976,0.51754,0.92127,0.81673,5.8408e-05,5.8408e-05,5.8408e-05
100,100.979,0.5326,0.73768,0.82905,0.9925,1,0.995,0.89488,0.50372,0.85373,0.81437,3.9402e-05,3.9402e-05,3.9402e-05
